"","a","照片","場站編號","DDH原始編碼","場站名稱","是否啟用","車場經度","車場緯度","支援車辨","停車型態","停車設備","列表清單顯示地址","完整地址","打電話用","UI顯示用","營業時間  (UI顯示用)","平日營業時間","假日營業時間","平日人工收費","假日人工收費","營業項目_月租","營業項目_預約","營業項目_臨停","營業項目_出國停車","汽車停車位數","可月租車位數","可領取會員卡","臨停信用卡優惠","汽車停車位數_1","停車種類","收費標準","收費標準_汽車月租","收費標準_汽車臨停","收費標準_機車月租","收費標準_機車臨停","身障優免","是否可停休旅車","備註","幾分鐘內免費停車","演算法類別","Teamviewer
ID","Teamviewer
PW"
"1",NA,NA,NA,"TP401","市民延吉站",NA,NA,NA,NA,"室內","機械","臺北市松山區市民大道四段168號停車場(Hotel","臺北市松山區市民大道四段168號停車場(Hotel","0226550818","02-87730113;02-26550818","10:00~22:00","10:00~22:00","10:00~22:00",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"Y",NA,NA,"月租：6500【24H】月租：3000【日】月租：5000【夜】臨停：10:00-17:00-$40/H、特定時段內當次最高上限$200；17:00-10:00-$60/H",NA,NA,NA,NA,"N","N","",NA,NA,NA,NA
"2",NA,NA,NA,"TP398","板橋巨蛋站",NA,NA,NA,NA,"室外","平面","新北市板橋區環河西路四段及大漢街旁空地","新北市板橋區環河西路四段及大漢街旁空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"Y",NA,NA,"月租：2500【24H】臨停：平日:$20/H,當日當次最高上限$150；假日:$30/H,當日當次最高上限$200",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"3",NA,NA,NA,"ML09","苗栗饒平站",NA,NA,NA,NA,"室外","平面","苗栗市饒平街80號旁空地","苗栗市饒平街80號旁空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1500【24H】臨停：$10/0.5H，當日當次最高上限$100",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"4",NA,NA,NA,"TC142","台中大明站",NA,NA,NA,NA,"室外","平面","台中市西區大明街21號對面空地","台中市西區大明街21號對面空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$10/0.5H，當日當次最高上限$100",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"5",NA,NA,NA,"TC137","台中太原站",NA,NA,NA,NA,"室外","平面","台中市北區太原五街24號對面空地","台中市北區太原五街24號對面空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$10/0.5H，當日當次最高上限$150",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"6",NA,NA,NA,"TC145","台中春安站",NA,NA,NA,NA,"室外","平面","台中市南屯區春安二街143號對面空地","台中市南屯區春安二街143號對面空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：汽車$1200；機車$200【24H】臨停：汽車:$10/0.5H,當日當次最高上限$100；機車:當日當次最高上限$20",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"7",NA,NA,NA,"TC136","台中朝富站",NA,NA,NA,NA,"室外","平面","台中市西屯區市政北六路236號對面空地","台中市西屯區市政北六路236號對面空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：汽車$1200；機車$200【24H】臨停：汽車:$10/0.5H,當日當次最高上限$150；機車:當日當次最高上限$20",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"8",NA,NA,NA,"TC141","台中貴和站",NA,NA,NA,NA,"室外","平面","台中市西區貴和街31號對面空地","台中市西區貴和街31號對面空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$10/0.5H",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"9",NA,NA,NA,"TC139","旱溪夜市站",NA,NA,NA,NA,"室外","平面","台中市東區一心街251號對面空地","台中市東區一心街251號對面空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$10/0.5H，當日當次最高上限$100",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"10",NA,NA,NA,"TC143","南屯美村站",NA,NA,NA,NA,"室外","平面","台中市西區美村路一段789號旁空地","台中市西區美村路一段789號旁空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$10/0.5H，當日當次最高上限$150",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"11",NA,NA,NA,"TC140","柳川中華站",NA,NA,NA,NA,"室外","平面","台中市西區民生路109號後方空地","台中市西區民生路109號後方空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$10/H",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"12",NA,NA,NA,"TC146","彩虹眷村站",NA,NA,NA,NA,"室外","平面","台中市南屯區春社西巷29號對面空地","台中市南屯區春社西巷29號對面空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$10/0.5H，當日當次最高上限$100",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"13",NA,NA,NA,"TC144","黎光公園站",NA,NA,NA,NA,"室外","平面","台中市南屯區干城街216巷2號對面空地","台中市南屯區干城街216巷2號對面空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$10/0.5H，當日當次最高上限$100",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
